"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2021-1-6/07/2022","01",0,"SA","Station Wagon","2016","South East","Male","060","SA","C ","Full","Not Towing","Straight Ahead","002","5164",,
"2021-1-6/07/2022","02",0,"SA","Motor Cars - Sedan","2017","South East","Male","032","SA","HC","Full","Not Towing","Swerving","001","5108",,
"2021-2-6/07/2022","01",0,"SA","Motor Cars - Sedan","2015","East","Female","034","SA","C ","Full","Not Towing","Straight Ahead","002","5095",,
"2021-2-6/07/2022","02",1,,"Pedestrian on Footpath/Carpark",,"North","Male","089",,,,,"Walking on Footpath",,"5062",,
"2021-3-6/07/2022","01",0,"SA","Motor Cars - Sedan","2006","North East","Female","019","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5019",,
"2021-3-6/07/2022","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2021-4-6/07/2022","01",0,"SA","Station Wagon","2006","North East","Male","033","SA","C ","Full","Not Towing","Left Turn","001","5073",,
"2021-4-6/07/2022","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2021-5-6/07/2022","01",0,"SA","Motor Cars - Sedan","2018","North East","Male","030","SA","MRR ","Full","Not Towing","Straight Ahead","003","5501",,
"2021-5-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-6-6/07/2022","01",0,"SA","Motor Cars - Sedan","2004","North","Male","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5073",,
"2021-6-6/07/2022","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2021-7-6/07/2022","01",0,"SA","Station Wagon","2006","North East","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","002","XXXX",,
"2021-7-6/07/2022","02",0,,"Traffic Signal Pole",,,,,,,,,,,,,
"2021-7-6/07/2022","03",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2021-8-6/07/2022","01",0,"SA","Motor Cars - Sedan","2004","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","XXXX",,
"2021-8-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-9-6/07/2022","01",1,"SA","Motor Cars - Sedan","2004","North","Male","051","SA","MR","Full","Not Towing","Straight Ahead","001","5022",,
"2021-9-6/07/2022","02",1,,"Pedal Cycle",,"South","Male","060",,,,,"Straight Ahead","001","5048",,
"2021-9-6/07/2022","03",0,,"Tree",,,,,,,,,,,,,
"2021-9-6/07/2022","04",0,,"Stobie Pole",,,,,,,,,,,,,
"2021-10-6/07/2022","01",1,,"Pedal Cycle",,"North East","Male","055",,,,,"Straight Ahead","001","5081",,
"2021-10-6/07/2022","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2021-11-6/07/2022","01",0,"SA","Motor Cars - Sedan","2019","South","Male","027","SA","C ","Full","Not Towing","Right Turn","001","5083",,
"2021-11-6/07/2022","02",0,"SA","Motor Cars - Sedan","2017","North East","Male","027","SA","MC","Full","Not Towing","Straight Ahead","001","5024",,
"2021-12-6/07/2022","01",2,"SA","Motor Cars - Sedan","1998","North East","Male","054","SA","C ","Full","Not Towing","Straight Ahead","002","5341","Y",
"2021-13-6/07/2022","01",0,"SA","Motor Cars - Sedan","2010","East","Female","020","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5047","Y",
"2021-14-6/07/2022","01",0,"SA","Utility","2005","East","Male","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5173",,
"2021-14-6/07/2022","02",0,"ACT","Motor Cars - Sedan","2016","East","Male","059","ACT","C ","Full","Not Towing","Reversing","004","5061",,
"2021-15-6/07/2022","01",0,"SA","Motor Cars - Sedan","2002","North West","Male","033","SA","C ","Full","Not Towing","Straight Ahead","001","5271",,
"2021-15-6/07/2022","02",0,,"Guard Rail",,,,,,,,,,,,,
"2021-16-6/07/2022","01",0,"SA","Motor Cars - Sedan","2003","South West","Female","020","SA","C ","Learners","Not Towing","Straight Ahead","002","5092",,
"2021-16-6/07/2022","02",0,,"Guard Rail",,,,,,,,,,,,,
"2021-17-6/07/2022","01",0,"SA","Motor Cars - Sedan","2012","South West","Male","031","O/S","XX","Full","Not Towing","Left Turn","003","5011",,
"2021-17-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-18-6/07/2022","01",1,,"Pedal Cycle",,"South West","Male","065",,,,,"Straight Ahead","001","5045","Y",
"2021-18-6/07/2022","02",1,,"Pedal Cycle",,"South West","Male","075",,,,,"Swerving","001","5045","Y",
"2021-19-6/07/2022","01",0,"SA","Station Wagon","2011","South","Female","037","SA","C ","Full","Not Towing","Straight Ahead","001","5097",,
"2021-19-6/07/2022","02",1,"SA","Motor Cycle","2017","East","Male","043","SA","C R ","Full","Not Towing","Straight Ahead","001","5109",,
"2021-20-6/07/2022","01",0,"SA","Motor Cars - Sedan","1996","North East","Female","041","SA","C ","Full","Not Towing","Right Turn","001","5068",,
"2021-20-6/07/2022","02",0,"VIC","Station Wagon","2015","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2021-21-6/07/2022","01",0,"SA","Motor Cars - Sedan","2012","North West","Female","022","SA","C ","Full","Not Towing","Straight Ahead","003","5280",,
"2021-21-6/07/2022","02",0,"VIC","Other Defined Special Vehicle","2020","South West","Male","057","VIC","C ","Full","Not Towing","Straight Ahead","001","3231",,
"2021-22-6/07/2022","01",1,"SA","Motor Cycle","2005","East","Male","063","SA","C R ","Full","Not Towing","Swerving","001","5251",,
"2021-22-6/07/2022","02",0,"SA","Motor Cars - Sedan","2002","East","Female","036","SA","C ","Full","Not Towing","Straight Ahead","001","5007",,
"2021-23-6/07/2022","01",0,"SA","Motor Cars - Sedan","2002","East","Male","030","SA","C RD","Provisional 2","Not Towing","Straight Ahead","001","5083",,
"2021-23-6/07/2022","02",0,"SA","Utility","2018","West","Male","048","SA","C R ","Full","Trailer","Straight Ahead","001","5081",,
"2021-24-6/07/2022","01",0,"TAS","Motor Cars - Sedan","2004","South East","Unknown","027","UNKNOWN","XX","Unknown","Not Towing","Left Turn","004","3500",,
"2021-24-6/07/2022","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2011","East","Male","047","SA","HR","Full","Not Towing","Straight Ahead","002","5171",,
"2021-25-6/07/2022","01",1,,"Pedal Cycle",,"South","Male","043",,,,,"Straight Ahead","001","5043","Y",
"2021-26-6/07/2022","01",0,"SA","Utility","2007","West","Female","023","SA","C ","Full","Not Towing","Swerving","001","5025","Y",
"2021-26-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-27-6/07/2022","01",0,"SA","Motor Cars - Sedan","2010","South West","Female","020","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5108",,
"2021-27-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-27-6/07/2022","03",0,,"Sign Post",,,,,,,,,,,,,
"2021-27-6/07/2022","04",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-28-6/07/2022","01",1,"SA","Motor Cars - Sedan","2012","South","Female","023","SA","C ","Unlicenced","Not Towing","Right Turn","001","5127",,
"2021-28-6/07/2022","02",0,"SA","Utility","2010","North","Male","025","SA","C ","Full","Not Towing","Straight Ahead","002","5108",,
"2021-29-6/07/2022","01",0,"SA","Utility","2008","North West","Male","042","SA","C ","Full","Not Towing","U Turn","001","5108",,
"2021-29-6/07/2022","02",0,"SA","Motor Cars - Sedan","2005","South East","Female","060","SA","C ","Full","Not Towing","Straight Ahead","001","5051",,
